914,785,128
91,243,690
106,939,125
206,280,76
609,335,9
536,923,326
548,225,425
706,525,610
814,858,650
344,374,621
69,957,831
874,663,385
847,379,612
908,393,896
381,273,326
24,471,507
119,315,170
92,352,256
895,329,735
349,663,251
488,43,672
824,558,776
729,702,106
714,119,836
560,901,270
347,888,718
72,604,645
331,240,664
525,589,122
249,628,463
928,33,4
995,469,473
947,280,994
254,233,881
214,354,237
463,606,560
313,713,490
798,618,720
99,337,950
59,46,1
804,714,3
616,466,528
830,828,547
815,990,892
126,848,621
549,179,956
837,816,163
18,39,786
217,87,433
965,434,946
126,696,761
520,711,566
173,211,68
678,774,379
747,378,317
645,921,695
37,495,763
375,80,563
913,19,64
119,523,256
413,217,601
392,473,938
894,446,611
563,345,975
425,38,335
194,441,489
818,904,91
330,123,323
239,407,765
11,900,102
183,728,718
959,245,789
143,740,99
249,489,399
456,224,619
433,42,319
973,788,693
472,359,165
915,228,467
938,209,168
482,824,390
410,814,187
795,631,256
794,146,882
938,690,650
223,480,499
831,839,87
800,505,621
30,854,918
650,733,579
303,490,367
508,245,999
35,268,346
310,315,271
562,995,58
657,438,967
236,865,256
874,45,201
877,524,11
18,696,234
231,912,791
