4,96,95
64,46,88
94,31,98
86,100,59
43,42,98
52,10,5
54,79,62
98,23,94
100,0,56
3,46,87
14,83,81
91,3,93
99,0,79
64,45,36
100,28,31
92,33,5
47,88,31
15,92,32
50,85,75
66,43,60
51,68,1
60,21,8
89,37,71
50,26,8
65,18,29
73,38,65
57,35,26
26,39,11
49,97,75
6,90,82
60,8,69
24,64,12
4,50,22
32,88,54
32,37,37
63,94,67
6,74,8
43,86,77
25,9,87
37,47,80
88,66,23
66,46,81
10,85,38
64,46,18
4,64,69
96,8,98
91,36,20
87,58,81
52,18,28
80,66,1
43,50,62
69,36,94
8,17,94
66,78,42
59,21,60
90,7,90
25,81,71
41,84,63
66,57,27
1,72,52
67,70,28
18,41,25
47,79,36
46,28,1
24,91,1
28,81,10
19,42,4
12,54,35
23,67,51
40,41,92
91,16,9
25,26,1
23,12,83
13,49,92
32,76,38
50,0,29
85,71,7
97,68,98
68,98,57
70,32,97
62,3,8
88,9,73
44,72,52
90,63,15
55,10,68
76,56,36
3,53,91
34,42,67
12,30,32
92,17,41
36,32,91
24,75,33
24,48,17
35,6,68
33,69,58
79,97,49
82,100,45
39,21,74
13,92,81
55,94,39
68,50,61
